id,og_brand,og_name,og_price_eur,og_url,copy_brand,copy_name,copy_price_eur,copy_url,notes,saved_amount
1328,24,Gold Oud Edition,,,Fragrance World,Wenty Four Gold Oud Edition,,,,
1329,24,Gold Oud Edition,,,Lattafa,Raghba,,,,
2,Abercrombie and Fitch,Fierce,,,Mont Blanc, Legend,,,,
2,Abercrombie and Fitch,Fierce,,,Halloween, Man Rock on,,,,
647,Abercrombie and Fitch,Fierce,,,,Beau Acute,,,,
1330,Abercrombie and Fitch,Fierce,,,Mont Blanc,Legend Edt/ Edp,,,Recommended Edp for More Mature Scent and Performance,
1332,Abercrombie and Fitch,Fierce,,,Geparlys Parfums,Pure Icon,,,,
1334,Abercrombie and Fitch,Instinct,,,Lattafa,Ejaazi Silver,,,6ixscents: Lattafa Version of First Instinct,
1335,Acqua Di Parma,Colonia Oud,,,French Avenue,Enigma Trois,,,,
1336,Acqua Di Parma,Colonia Oud,,,Paris Corner,Emir Resurrection,,,,
959,Acqua Di Parma,Note Di Colonia Ii,,,,Fig of Amalfi,,,,
1337,Ahmed Al Maghribi,Bidun Esam,,,French Avenue,The Promise,,,,
1338,Ajmal,Hatkora Wood,,,Fragrance World,Hardcore Wood,,,,
3,Alexandre.J,Morning Muscs,,,Maison Alhambra,Modern Musk,,,,
4,Amouage,Beach Hut Man,,,Paris Corner,Killer Oud Cabana,,,,
11,Amouage,Beach Hut Man,,,La Ree Fragrances,Bungalow Tiki Man,,,,
426,Amouage,Beach Hut Man,,,,Paradise Sunrise,,,,
1341,Amouage,Blossom Love,,,Al Haramain,Junoon Rose,,,,
5,Amouage,Bracken Man,,,Fragrance World,Abraaj Brackish,,,,
1343,Amouage,Crimson Rocks,,,Fragrance World,Abraaj Carmine,,,,
1344,Amouage,Enclave,,,Fragrance World,Abraaj Enclosure,,,,
6,Amouage,Epic Man,,,Armaf,Derby Clubhouse Ascot,,,,
6,Amouage,Epic Man,,,Lattafa,Al Areeq,,,,
6,Amouage,Epic Man,,,Paris Corner,Killer Oud,,,,
617,Amouage,Epic Man,,,,Italian Waters V,,,,
1345,Amouage,Epic Man,,,Paris Corner,Killer Oud Ethic,,,,
619,Amouage,Epic Woman,,,,Mrs. Sultan’s Elixir,,,,
7,Amouage,Gold Man,,,Maison Alhambra,Brulant Oud,,,,
1349,Amouage,Honour Man,,,Fragrance World,Abraaj Revere,,,,
747,Amouage,Imitaton Man,,,,Betrayal,,,,
9,Amouage,Interlude,,,Swiss Arabian,Shaghaf Oud Abyad,,,,
