id,og_brand,og_name,og_price_eur,og_url,copy_brand,copy_name,copy_price_eur,copy_url,notes,saved_amount
aeaf337f-991a-45c3-90a3-eb30cdd41456,24,Gold Oud Edition,,,Fragrance World,Wenty Four Gold Oud Edition,,,,
a906fc73-037d-42ba-8275-8311c31dd88e,24,Gold Oud Edition,,,Lattafa,Raghba,,,,
0fb23c5e-3aa4-401e-8e98-f1c7761b75fb,Abercrombie and Fitch,Fierce,,,Mont Blanc,Legend,,,,
268df095-1d78-4b18-9460-ee1ec19068bb,Abercrombie and Fitch,Fierce,,,Halloween,Man Rock on,,,,
39203917-76ff-443f-ad3c-0f6f9471a4a2,Abercrombie and Fitch,Fierce,,,,Beau Acute,,,,
2b8ab980-0099-49eb-876a-abcc1f073fb9,Abercrombie and Fitch,Fierce,,,Mont Blanc,Legend Edt/ Edp,,,Recommended Edp for More Mature Scent and Performance,
0ee7fece-2d6c-4486-98d8-c27075e63bdf,Abercrombie and Fitch,Fierce,,,Geparlys Parfums,Pure Icon,,,,
d5d467fb-c747-4735-93a8-84b62357c8e0,Abercrombie and Fitch,Instinct,,,Lattafa,Ejaazi Silver,,,6ixscents: Lattafa Version of First Instinct,
36263fa3-602c-48d1-a978-e6ed37ff21b4,Acqua Di Parma,Colonia Oud,,,French Avenue,Enigma Trois,,,,
d673a40e-a6d9-4169-a441-946a27a0da5e,Acqua Di Parma,Colonia Oud,,,Paris Corner,Emir Resurrection,,,,
593708f0-735f-4ef6-84d6-2f4351881444,Acqua Di Parma,Note Di Colonia Ii,,,,Fig of Amalfi,,,,
07a5878b-576d-4f58-b905-ef1d7527e935,Ahmed Al Maghribi,Bidun Esam,,,French Avenue,The Promise,,,,
86698839-7d34-4b55-b609-2e5f6349486e,Ajmal,Hatkora Wood,,,Fragrance World,Hardcore Wood,,,,
97029a26-6203-4804-9019-394c8a80f5a4,Alexandre.J,Morning Muscs,,,Maison Alhambra,Modern Musk,,,,
53dd3b16-e258-4459-bebf-c7eb1ef90289,Amouage,Beach Hut Man,,,Paris Corner,Killer Oud Cabana,,,,
a5fc21e8-2bc0-4a15-8d8f-1a76d108e22a,Amouage,Beach Hut Man,,,La Ree Fragrances,Bungalow Tiki Man,,,,
92ad8919-a475-44e9-9697-78cc9d224dfd,Amouage,Beach Hut Man,,,,Paradise Sunrise,,,,
9c446ed4-d0c6-4490-b4a5-a36b65f38649,Amouage,Blossom Love,,,Al Haramain,Junoon Rose,,,,
a5f32c12-bfe0-4085-b665-46448d1fc86f,Amouage,Bracken Man,,,Fragrance World,Abraaj Brackish,,,,
f6ab8172-a546-45dd-8459-b3db48775759,Amouage,Crimson Rocks,,,Fragrance World,Abraaj Carmine,,,,
21db9803-3b8e-4ae0-aa6f-568e86d34d97,Amouage,Enclave,,,Fragrance World,Abraaj Enclosure,,,,
